0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,255-215-0,255-215-0,255-215-0,255-215-0,255-215-0
0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,255-215-0,255-215-0,255-215-0,255-215-0
0-255-255,0-255-255,0-0-0,0-0-0,0-255-255,0-0-0,0-255-255,0-255-255,0-0-0,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,255-215-0,255-215-0,255-215-0
0-255-255,0-255-255,0-0-0,0-255-255,0-255-255,0-0-0,0-255-255,0-255-255,0-0-0,0-255-255,0-255-255,0-0-0,0-255-255,0-0-0,0-255-255,0-255-255,0-255-255,255-215-0,255-215-0
0-255-255,0-255-255,0-0-0,0-0-0,0-255-255,0-0-0,0-255-255,0-255-255,0-0-0,0-255-255,0-0-0,0-255-255,0-0-0,0-255-255,0-0-0,0-255-255,0-255-255,0-255-255,255-215-0
0-255-255,0-255-255,0-0-0,0-255-255,0-255-255,0-0-0,0-255-255,0-255-255,0-0-0,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255
0-255-255,0-255-255,0-0-0,0-0-0,0-255-255,0-0-0,0-0-0,0-255-255,0-0-0,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255
127-255-0,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,127-255-0,127-255-0,0-255-255,0-255-255,0-255-255,0-255-255,0-255-255,127-255-0,127-255-0,0-255-255,0-255-255,0-255-255,0-255-255
127-255-0,127-255-0,0-255-255,0-255-255,0-255-255,127-255-0,127-255-0,127-255-0,127-255-0,0-255-255,0-255-255,0-255-255,127-255-0,127-255-0,127-255-0,127-255-0,0-255-255,0-255-255,0-255-255
127-255-0,127-255-0,127-255-0,0-255-255,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,0-255-255,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,0-255-255,0-255-255
127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0
127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0,127-255-0
